vOTU	Organic Nitrogen	MISC	carbon utilization	carbon utilization (Woodcroft)	Energy	Transporters
vOTU01695	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01696	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
vOTU01721	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU01740	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01768	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01771	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01785	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU01802	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01810	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
vOTU01813	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01817	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01821	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01834	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01854	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
vOTU01870	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01932	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01946	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01948	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
vOTU01950	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU01977	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01980	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01983	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01989	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02002	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02048	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02093	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02110	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02114	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02119	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02131	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02134	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02143	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU02145	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02182	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02190	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02201	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02204	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02281	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02314	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02333	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
vOTU02349	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02368	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02369	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02381	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02394	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02412	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02434	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02459	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02489	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02490	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02518	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02569	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02594	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02647	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02662	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02672	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02676	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
vOTU02686	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02714	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02738	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02745	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02762	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02785	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02786	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU02830	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02833	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02838	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02851	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU02878	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02888	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02889	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02890	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02895	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02939	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02961	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU02979	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU02986	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02987	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU02992	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03002	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03023	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03024	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU03038	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03063	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03071	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03096	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU03098	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03122	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03126	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03187	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU03191	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03203	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03234	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03255	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03294	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03296	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03300	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03303	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03392	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
